"checking_status","duration","credit_history","loan_purpose","credit_amount","savings_status","employment","installment_commitment","other_parties","residence_since","property_magnitude","age","other_payment_plans","housing","existing_credits","job","num_dependents","own_telephone","foreign_worker","credit_class","gender","credit_class_binary"
"<0",36,"existing paid","Consumer goods",3620,"<100","1<=X<4",1,"guarantor",2,"life insurance",37,"stores","own",1,"skilled",1,0,1,"good",0,1
"<0",15,"existing paid","Car Purchase",1721,"<100","<1",2,"none",3,"real estate",36,"stores","own",1,"skilled",0,0,1,"good",0,1
"0<=X<200",12,"existing paid","Consumer goods",3017,"<100","<1",3,"none",1,"real estate",34,"stores","rent",1,"high qualified",0,0,1,"good",1,1
"0<=X<200",12,"existing paid","retraining",754,"100<=X<500",">=7",4,"none",4,"life insurance",38,"stores","own",2,"skilled",0,0,1,"good",0,1
"no checking",18,"existing paid","business",1950,"<100","4<=X<7",4,"none",1,"car",34,"stores","own",2,"skilled",0,1,1,"good",0,1
"<0",24,"existing paid","Car Purchase",2924,"<100","1<=X<4",3,"guarantor",4,"no known property",63,"bank","own",1,"skilled",1,1,1,"good",0,1
"<0",24,"delayed previously","Consumer goods",1659,"<100","<1",4,"none",2,"car",29,"stores","rent",1,"unskilled resident",0,1,1,"bad",1,0
"no checking",48,"delayed previously","Consumer goods",7238,"100<=X<500",">=7",3,"none",3,"car",32,"bank","own",2,"skilled",1,0,1,"good",0,1
"no checking",33,"delayed previously","business",2764,"<100","1<=X<4",2,"none",2,"car",26,"stores","own",2,"skilled",0,1,1,"good",1,1
"no checking",24,"delayed previously","Car Purchase",4679,"<100","4<=X<7",3,"none",3,"car",35,"stores","own",2,"unskilled resident",0,1,1,"good",0,1
"0<=X<200",24,"existing paid","Consumer goods",3092,"100<=X<500","<1",3,"none",2,"car",22,"stores","rent",1,"skilled",0,1,1,"bad",0,0
"<0",6,"existing paid","education",448,"<100","<1",4,"none",4,"life insurance",23,"stores","own",1,"skilled",0,0,1,"bad",1,0
"<0",9,"existing paid","Car Purchase",654,"<100","1<=X<4",4,"none",3,"car",28,"stores","own",1,"unskilled resident",0,0,1,"bad",0,0
"no checking",6,"existing paid","retraining",1238,"<100","unemployed",4,"none",4,"life insurance",36,"stores","own",1,"high qualified",1,1,1,"good",0,1
"0<=X<200",18,"critical/order existing credit","Consumer goods",1245,"<100","1<=X<4",4,"none",2,"car",33,"stores","own",1,"skilled",0,0,1,"bad",0,0
"<0",18,"no credits/all paid","Consumer goods",1835,"<100","<1",1,"none",4,"life insurance",26,"stores","rent",1,"skilled",0,0,1,"bad",1,0
"no checking",21,"existing paid","Car Purchase",2569,"500<=X<1000","1<=X<4",4,"none",4,"car",24,"stores","own",1,"skilled",0,0,1,"good",0,1
">=200",24,"existing paid","Consumer goods",5152,"<100","4<=X<7",4,"none",2,"car",25,"bank","own",1,"skilled",0,0,1,"good",0,1
"0<=X<200",12,"existing paid","business",1037,"100<=X<500","4<=X<7",3,"none",4,"real estate",39,"stores","own",1,"unskilled resident",0,0,1,"good",0,1
"<0",15,"critical/order existing credit","Consumer goods",1478,"<100",">=7",4,"none",4,"car",44,"stores","own",2,"skilled",1,1,1,"good",0,1
"0<=X<200",12,"critical/order existing credit","Consumer goods",3573,"<100","1<=X<4",1,"none",1,"real estate",23,"stores","own",1,"unskilled resident",0,0,1,"good",1,1
"0<=X<200",24,"existing paid","Car Purchase",1201,"<100","<1",4,"none",1,"life insurance",26,"stores","own",1,"skilled",0,0,1,"good",0,1
"<0",30,"existing paid","Consumer goods",3622,">=1000",">=7",4,"none",4,"life insurance",57,"stores","rent",2,"skilled",0,1,1,"good",1,1
"no checking",15,"delayed previously","Consumer goods",960,">=1000","4<=X<7",3,"none",2,"life insurance",30,"stores","own",2,"skilled",0,0,1,"good",1,1
"no checking",12,"critical/order existing credit","Car Purchase",1163,"500<=X<1000","1<=X<4",4,"none",4,"real estate",44,"stores","own",1,"skilled",0,1,1,"good",0,1
"0<=X<200",6,"delayed previously","Car Purchase",1209,"<100","unemployed",4,"none",4,"life insurance",47,"stores","own",1,"high qualified",0,1,1,"bad",0,0
"no checking",12,"existing paid","Consumer goods",3077,"<100","1<=X<4",2,"none",4,"car",52,"stores","own",1,"skilled",0,1,1,"good",0,1
"no checking",24,"existing paid","Car Purchase",3757,"<100",">=7",4,"co applicant",4,"no known property",62,"stores","for free",1,"skilled",0,1,1,"good",1,1
"no checking",10,"existing paid","Car Purchase",1418,"100<=X<500","1<=X<4",3,"none",2,"real estate",35,"stores","rent",1,"unskilled resident",0,0,0,"good",0,1
"no checking",6,"existing paid","Car Purchase",3518,"<100","1<=X<4",2,"guarantor",3,"life insurance",26,"stores","rent",1,"skilled",0,0,1,"good",0,1
"no checking",12,"critical/order existing credit","Consumer goods",1934,"<100",">=7",2,"none",2,"no known property",26,"stores","own",2,"skilled",0,0,1,"good",0,1
"0<=X<200",27,"no credits/all paid","business",8318,"<100",">=7",2,"none",4,"no known property",42,"stores","for free",2,"high qualified",0,1,1,"bad",1,0
"no checking",6,"critical/order existing credit","Consumer goods",1237,"100<=X<500","1<=X<4",1,"none",1,"life insurance",27,"stores","own",2,"skilled",0,0,1,"good",1,1
"0<=X<200",6,"existing paid","Consumer goods",368,"500<=X<1000",">=7",4,"none",4,"life insurance",38,"stores","own",1,"skilled",0,0,1,"good",0,1
"<0",12,"critical/order existing credit","Car Purchase",2122,"<100","<1",3,"none",2,"real estate",39,"stores","rent",2,"unskilled resident",1,0,0,"good",0,1
"<0",24,"existing paid","Consumer goods",2996,"<100","1<=X<4",2,"none",4,"car",20,"stores","own",1,"skilled",0,0,1,"bad",0,0
"0<=X<200",36,"existing paid","Consumer goods",9034,"100<=X<500","<1",4,"co applicant",1,"no known property",29,"stores","rent",1,"high qualified",0,1,1,"bad",0,0
"no checking",24,"critical/order existing credit","Consumer goods",1585,"<100","4<=X<7",4,"none",3,"life insurance",40,"stores","own",2,"skilled",0,0,1,"good",0,1
"0<=X<200",18,"existing paid","Consumer goods",1301,"<100",">=7",4,"guarantor",2,"real estate",32,"stores","own",1,"unskilled resident",0,0,1,"good",0,1
">=200",6,"critical/order existing credit","Car Purchase",1323,"100<=X<500",">=7",2,"none",4,"car",28,"stores","own",2,"skilled",1,1,1,"good",0,1
"<0",24,"existing paid","Car Purchase",3123,"<100","<1",4,"none",1,"life insurance",27,"stores","own",1,"skilled",0,0,1,"bad",1,0
"<0",36,"existing paid","Car Purchase",5493,"<100",">=7",2,"none",4,"no known property",42,"stores","for free",1,"skilled",1,0,1,"good",0,1
">=200",9,"existing paid","Consumer goods",1126,"100<=X<500",">=7",2,"none",4,"real estate",49,"stores","own",1,"skilled",0,0,1,"good",0,1
"0<=X<200",24,"critical/order existing credit","Consumer goods",1216,"<100","<1",4,"none",3,"no known property",38,"bank","for free",2,"skilled",1,0,1,"bad",0,0
"<0",24,"existing paid","Car Purchase",1207,"<100","<1",4,"none",4,"life insurance",24,"stores","rent",1,"skilled",0,0,1,"bad",1,0
"no checking",10,"existing paid","Car Purchase",1309,"100<=X<500","1<=X<4",4,"guarantor",4,"life insurance",27,"stores","own",1,"unskilled resident",0,0,1,"bad",0,0
">=200",15,"critical/order existing credit","Car Purchase",2360,"500<=X<1000","1<=X<4",2,"none",2,"car",36,"stores","own",1,"skilled",0,1,1,"good",0,1
"0<=X<200",15,"no credits/all paid","Car Purchase",6850,"100<=X<500","unemployed",1,"none",2,"life insurance",34,"stores","own",1,"high qualified",1,1,1,"bad",0,0
"no checking",24,"existing paid","Consumer goods",1413,"<100","1<=X<4",4,"none",2,"life insurance",28,"stores","own",1,"skilled",0,0,1,"good",0,1
"no checking",39,"existing paid","Car Purchase",8588,"100<=X<500",">=7",4,"none",2,"car",45,"stores","own",1,"high qualified",0,1,1,"good",0,1
"<0",12,"no credits/all paid","Car Purchase",759,"<100","4<=X<7",4,"none",2,"real estate",26,"stores","own",1,"skilled",0,0,1,"bad",0,0
"no checking",36,"existing paid","Car Purchase",4686,"<100","1<=X<4",2,"none",2,"no known property",32,"stores","for free",1,"high qualified",0,1,1,"good",0,1
">=200",15,"existing paid","business",2687,"<100","1<=X<4",2,"none",4,"life insurance",26,"stores","rent",1,"skilled",0,1,1,"good",0,1
"0<=X<200",12,"delayed previously","Consumer goods",585,"<100","1<=X<4",4,"co applicant",4,"real estate",20,"stores","rent",2,"skilled",0,0,1,"good",0,1
"no checking",24,"existing paid","Car Purchase",2255,"100<=X<500","<1",4,"none",1,"life insurance",54,"stores","own",1,"skilled",0,0,1,"good",0,1
"<0",6,"critical/order existing credit","Car Purchase",609,"<100","4<=X<7",4,"none",3,"life insurance",37,"stores","own",2,"skilled",0,0,0,"good",1,1
"<0",6,"critical/order existing credit","Car Purchase",1361,"<100","<1",2,"none",4,"real estate",40,"stores","own",1,"unskilled resident",1,0,0,"good",0,1
"no checking",36,"critical/order existing credit","Consumer goods",7127,"<100","<1",2,"none",4,"life insurance",23,"stores","rent",2,"skilled",0,1,1,"bad",1,0
"<0",6,"existing paid","Car Purchase",1203,"100<=X<500",">=7",3,"none",2,"life insurance",38,"stores","own",1,"skilled",0,1,1,"good",0,1
"no checking",6,"critical/order existing credit","Consumer goods",700,">=1000",">=7",4,"none",4,"no known property",36,"stores","for free",2,"skilled",0,0,1,"good",0,1
"no checking",26,"critical/order existing credit","repairs",5507,"<100",">=7",3,"none",4,"no known property",44,"stores","for free",2,"skilled",0,0,1,"good",0,1
"<0",18,"existing paid","Consumer goods",3190,"<100","1<=X<4",2,"none",2,"real estate",24,"stores","own",1,"skilled",0,0,1,"bad",1,0
"<0",48,"no credits/all paid","Consumer goods",7119,"<100","1<=X<4",3,"none",4,"no known property",53,"stores","for free",2,"skilled",1,0,1,"bad",0,0
"no checking",24,"existing paid","Car Purchase",3488,"100<=X<500","4<=X<7",3,"none",4,"car",23,"stores","own",1,"skilled",0,0,1,"good",1,1
"0<=X<200",18,"existing paid","Consumer goods",1113,"<100","1<=X<4",4,"guarantor",4,"real estate",26,"stores","own",1,"unskilled resident",1,0,1,"good",1,1
"0<=X<200",26,"existing paid","Car Purchase",7966,"<100","<1",2,"none",3,"car",30,"stores","own",2,"skilled",0,0,1,"good",0,1
"no checking",15,"critical/order existing credit","education",1532,"100<=X<500","1<=X<4",4,"none",3,"car",31,"stores","own",1,"skilled",0,0,1,"good",1,1
"no checking",4,"critical/order existing credit","Consumer goods",1503,"<100","4<=X<7",2,"none",1,"real estate",42,"stores","own",2,"unskilled resident",1,0,1,"good",0,1
"<0",36,"existing paid","Consumer goods",2302,"<100","1<=X<4",4,"none",4,"car",31,"stores","rent",1,"skilled",0,0,1,"bad",0,0
"<0",6,"existing paid","Car Purchase",662,"<100","<1",3,"none",4,"real estate",41,"stores","own",1,"unskilled resident",1,1,1,"good",0,1
"0<=X<200",36,"existing paid","education",2273,"<100","4<=X<7",3,"none",3,"car",32,"stores","own",2,"skilled",1,0,1,"good",0,1
"0<=X<200",15,"existing paid","Car Purchase",2631,"<100","1<=X<4",2,"none",4,"car",26,"stores","rent",2,"skilled",0,1,1,"bad",1,0
"no checking",12,"delayed previously","Car Purchase",1503,"<100","1<=X<4",4,"none",4,"real estate",41,"stores","rent",1,"skilled",0,0,1,"good",0,1
"no checking",24,"existing paid","Consumer goods",1311,"100<=X<500","4<=X<7",4,"none",3,"life insurance",26,"stores","own",1,"skilled",0,1,1,"good",0,1
"no checking",24,"existing paid","Consumer goods",3105,"<100","<1",4,"none",2,"car",25,"stores","own",2,"skilled",0,0,1,"good",0,1
">=200",21,"critical/order existing credit","education",2319,"<100","<1",2,"none",1,"car",33,"stores","rent",1,"skilled",0,0,1,"bad",0,0
"0<=X<200",6,"existing paid","Car Purchase",1374,"<100","unemployed",2.77,"none",3,"life insurance",75,"stores","own",1,"high qualified",0,1,1,"good",1,1
"0<=X<200",18,"critical/order existing credit","Consumer goods",3612,"<100",">=7",3,"none",4,"life insurance",37,"stores","own",1,"skilled",0,1,1,"good",1,1
"<0",48,"existing paid","Car Purchase",7763,"<100",">=7",4,"none",4,"no known property",42,"bank","for free",1,"high qualified",0,0,1,"bad",0,0
">=200",18,"existing paid","Consumer goods",3049,"<100","<1",1,"none",1,"life insurance",45,"stores","own",1,"unskilled resident",0,0,1,"good",1,1
"0<=X<200",12,"existing paid","Consumer goods",1534,"<100","<1",1,"none",1,"real estate",23,"stores","rent",1,"skilled",0,0,1,"bad",0,0
"no checking",24,"delayed previously","Car Purchase",2032,"<100",">=7",4,"none",4,"no known property",60,"stores","for free",2,"skilled",0,1,1,"good",0,1
"<0",22,"existing paid","Consumer goods",6350,"<100",">=7",4,"none",4,"life insurance",31,"stores","own",1,"skilled",0,0,1,"bad",0,0
">=200",18,"existing paid","Consumer goods",2864,"<100","1<=X<4",2,"none",1,"real estate",34,"stores","own",1,"unskilled resident",1,0,1,"bad",0,0
"no checking",12,"critical/order existing credit","Car Purchase",1255,"<100",">=7",4,"none",4,"real estate",61,"stores","own",2,"unskilled resident",0,0,1,"good",0,1
"<0",24,"delayed previously","Car Purchase",1333,"<100","unemployed",4,"none",2,"real estate",43,"stores","for free",2,"skilled",1,0,1,"bad",0,0
"no checking",24,"critical/order existing credit","Car Purchase",2022,"<100","1<=X<4",4,"none",4,"car",37,"stores","own",1,"skilled",0,1,1,"good",1,1
"no checking",24,"existing paid","Consumer goods",1552,"<100","4<=X<7",3,"none",1,"car",32,"bank","own",1,"skilled",1,0,1,"good",0,1
"<0",12,"no credits/all paid","Consumer goods",626,"<100","1<=X<4",4,"none",4,"real estate",38,"bank","own",1,"unskilled resident",0,0,1,"bad",1,0
"no checking",48,"critical/order existing credit","Car Purchase",8858,"<100","4<=X<7",2,"none",1,"no known property",35,"stores","for free",2,"skilled",0,1,1,"good",0,1
"no checking",12,"critical/order existing credit","repairs",996,"100<=X<500","4<=X<7",4,"none",4,"real estate",23,"stores","own",2,"skilled",0,0,1,"good",1,1
"no checking",6,"no credits/all paid","Consumer goods",1750,"500<=X<1000",">=7",2,"none",4,"life insurance",45,"bank","own",1,"unskilled resident",1,0,1,"good",0,1
"<0",48,"existing paid","Consumer goods",6999,"<100","4<=X<7",1,"guarantor",1,"real estate",34,"stores","own",2,"skilled",0,1,1,"bad",0,0
"0<=X<200",12,"critical/order existing credit","Car Purchase",1995,"100<=X<500","<1",4,"none",1,"car",27,"stores","own",1,"skilled",0,0,1,"good",0,1
"0<=X<200",9,"existing paid","education",1199,"<100","4<=X<7",4,"none",4,"life insurance",67,"stores","own",2,"high qualified",0,1,1,"good",1,1
"0<=X<200",12,"existing paid","Consumer goods",1331,"<100","<1",2,"none",1,"car",22,"stores","own",1,"skilled",0,0,1,"bad",0,0
"0<=X<200",18,"no credits/all paid","Car Purchase",2278,"100<=X<500","<1",3,"none",3,"car",28,"stores","own",2,"skilled",0,0,1,"bad",1,0
"no checking",21,"no credits/all paid","Car Purchase",5003,"<100","1<=X<4",1,"none",4,"life insurance",29,"bank","own",2,"skilled",0,1,1,"bad",1,0
"<0",24,"no credits/all paid","Consumer goods",3552,"<100","4<=X<7",3,"none",4,"car",27,"bank","own",1,"skilled",0,0,1,"bad",0,0
"0<=X<200",18,"critical/order existing credit","Consumer goods",1928,"<100","<1",2,"none",2,"real estate",31,"stores","own",2,"unskilled resident",0,0,1,"bad",0,0
"<0",24,"existing paid","Car Purchase",2964,"<100",">=7",4,"none",4,"no known property",49,"bank","for free",1,"skilled",1,1,1,"good",0,1
"<0",24,"no credits/all paid","Consumer goods",1546,"<100","4<=X<7",4,"guarantor",4,"car",24,"bank","rent",1,"unskilled resident",0,0,1,"bad",0,0
">=200",6,"delayed previously","Consumer goods",683,"<100","<1",2,"none",1,"life insurance",29,"bank","own",1,"skilled",0,0,1,"good",1,1
"0<=X<200",36,"existing paid","Car Purchase",12389,">=1000","1<=X<4",1,"none",4,"no known property",37,"stores","for free",1,"skilled",0,1,1,"bad",0,0
"0<=X<200",24,"delayed previously","business",4712,"<100","1<=X<4",4,"none",2,"life insurance",37,"bank","own",2,"high qualified",0,1,1,"good",0,1
"0<=X<200",24,"delayed previously","Consumer goods",1553,"100<=X<500","4<=X<7",3,"none",2,"life insurance",23,"stores","rent",2,"skilled",0,1,1,"good",1,1
"<0",12,"existing paid","Car Purchase",1372,"<100","4<=X<7",2,"none",3,"car",36,"stores","own",1,"skilled",0,0,1,"bad",0,0
"no checking",24,"critical/order existing credit","Consumer goods",2578,">=1000",">=7",2,"none",2,"car",34,"stores","own",1,"skilled",0,0,1,"good",0,1
"0<=X<200",48,"existing paid","Consumer goods",3979,"100<=X<500","4<=X<7",4,"none",1,"car",41,"stores","own",2,"skilled",1,1,1,"good",0,1
"no checking",48,"existing paid","Consumer goods",6758,"<100","1<=X<4",3,"none",2,"car",31,"stores","own",1,"skilled",0,1,1,"bad",1,0
"<0",24,"existing paid","Consumer goods",3234,"<100","<1",4,"none",4,"real estate",23,"stores","rent",1,"unskilled resident",0,1,1,"bad",1,0
"no checking",30,"critical/order existing credit","Consumer goods",5954,"<100","4<=X<7",3,"co applicant",2,"car",38,"stores","own",1,"skilled",0,0,1,"good",0,1
"no checking",24,"existing paid","Car Purchase",5433,">=1000","unemployed",2,"none",4,"life insurance",26,"stores","rent",1,"high qualified",0,1,1,"good",1,1
"<0",15,"existing paid","business",806,"<100","1<=X<4",4,"none",4,"life insurance",22,"stores","own",1,"unskilled resident",0,0,1,"good",1,1
"0<=X<200",9,"existing paid","Consumer goods",1082,"<100",">=7",4,"none",4,"car",27,"stores","own",2,"unskilled resident",0,0,1,"good",0,1
"no checking",15,"critical/order existing credit","Consumer goods",2788,"<100","4<=X<7",2,"co applicant",3,"car",24,"bank","own",2,"skilled",0,0,1,"good",1,1
"0<=X<200",12,"existing paid","Consumer goods",2930,"<100","4<=X<7",2.58,"none",1,"real estate",27,"stores","own",1,"skilled",0,0,1,"good",1,1
"no checking",24,"critical/order existing credit","education",1927,"<100","1<=X<4",3,"none",2,"car",33,"stores","own",2,"skilled",0,1,1,"good",1,1
"0<=X<200",36,"critical/order existing credit","Car Purchase",2820,"<100","<1",4,"none",4,"car",27,"stores","own",2,"skilled",0,0,1,"bad",0,0
"no checking",24,"existing paid","retraining",937,"<100","<1",4,"none",3,"car",27,"stores","own",2,"unskilled resident",0,0,1,"good",0,1
"0<=X<200",18,"critical/order existing credit","Car Purchase",1056,"<100",">=7",3,"guarantor",3,"real estate",30,"bank","own",2,"skilled",0,0,1,"bad",0,0
"0<=X<200",12,"critical/order existing credit","Car Purchase",3124,"<100","<1",1,"none",3,"real estate",49,"bank","own",2,"unskilled resident",1,0,1,"good",0,1
"no checking",9,"existing paid","Consumer goods",1388,"<100","1<=X<4",4,"none",2,"real estate",26,"stores","rent",1,"skilled",0,0,1,"good",1,1
"0<=X<200",36,"existing paid","repairs",2384,"<100","<1",4,"none",1,"no known property",33,"stores","rent",1,"unskilled resident",0,0,1,"bad",0,0
"no checking",12,"existing paid","Car Purchase",2133,"<100",">=7",4,"none",4,"no known property",52,"stores","for free",1,"high qualified",0,1,1,"good",1,1
"<0",18,"existing paid","Consumer goods",2039,"<100","1<=X<4",1,"none",4,"real estate",20,"bank","rent",1,"skilled",0,0,1,"bad",1,0
"<0",9,"critical/order existing credit","Car Purchase",2799,"<100","1<=X<4",2,"none",2,"real estate",36,"stores","rent",2,"skilled",1,0,1,"good",0,1
"no checking",12,"existing paid","Consumer goods",1289,"500<=X<1000","1<=X<4",4,"guarantor",1,"life insurance",21,"stores","own",1,"unskilled resident",0,0,1,"good",0,1
"<0",18,"existing paid","Consumer goods",1217,"<100","1<=X<4",4,"none",3,"real estate",47,"stores","own",1,"unskilled resident",0,1,1,"bad",0,0
"<0",12,"critical/order existing credit","Consumer goods",536,"<100",">=7",3,"none",3,"life insurance",60,"stores","own",2,"skilled",0,0,1,"bad",0,0
"<0",12,"critical/order existing credit","Consumer goods",385,"<100","4<=X<7",4,"none",3,"real estate",58,"stores","own",4,"unskilled resident",0,1,1,"good",1,1
"0<=X<200",24,"delayed previously","Car Purchase",1965,"<100","1<=X<4",4,"none",4,"car",42,"stores","rent",2,"skilled",0,1,1,"good",1,1
"no checking",21,"existing paid","business",1572,">=1000",">=7",4,"none",4,"real estate",36,"bank","own",1,"unskilled resident",0,0,1,"good",1,1
"0<=X<200",24,"existing paid","Car Purchase",2718,"<100","1<=X<4",3,"none",4,"life insurance",20,"stores","rent",1,"unskilled resident",0,1,1,"bad",1,0
"<0",24,"no credits/all paid","other",1358,"<100",">=7",4,"none",3,"car",40,"stores","own",1,"high qualified",0,1,1,"bad",0,0
"0<=X<200",6,"no credits/all paid","Car Purchase",931,"100<=X<500","<1",1,"none",1,"life insurance",32,"stores","own",1,"unskilled resident",0,0,1,"bad",1,0
"<0",24,"existing paid","Car Purchase",1442,"<100","4<=X<7",4,"none",4,"car",23,"stores","rent",2,"skilled",0,0,1,"bad",1,0
"0<=X<200",24,"no credits/all paid","business",4241,"<100","1<=X<4",1,"none",4,"real estate",36,"stores","own",3,"unskilled resident",1,1,1,"bad",0,0
"no checking",18,"critical/order existing credit","Car Purchase",2775,"<100","4<=X<7",2,"none",2,"life insurance",31,"bank","own",2,"skilled",0,0,1,"bad",0,0
"no checking",24,"delayed previously","business",3863,"<100","1<=X<4",1,"none",2,"no known property",32,"stores","for free",2,"skilled",0,0,1,"good",0,1
"0<=X<200",7,"existing paid","Consumer goods",2329,"<100","<1",1,"guarantor",1,"real estate",45,"stores","own",1,"skilled",0,0,1,"good",1,1
"0<=X<200",9,"existing paid","Consumer goods",918,"<100","1<=X<4",4,"none",1,"life insurance",30,"stores","own",1,"skilled",0,0,1,"bad",1,0
"0<=X<200",24,"no credits/all paid","education",1837,"<100","4<=X<7",4,"none",4,"no known property",34,"bank","for free",1,"unskilled resident",0,0,1,"bad",1,0
"no checking",36,"existing paid","Consumer goods",3349,"<100","1<=X<4",4,"none",2,"car",28,"stores","own",1,"high qualified",0,1,1,"bad",1,0
">=200",10,"existing paid","Consumer goods",1275,"<100","<1",4,"none",2,"life insurance",23,"stores","own",1,"skilled",0,0,1,"good",1,1
"<0",24,"no credits/all paid","Consumer goods",2828,"500<=X<1000","1<=X<4",4,"none",4,"real estate",22,"stores","own",1,"skilled",0,1,1,"good",0,1
"no checking",25,"critical/order existing credit","business",4526,"<100","1<=X<4",3,"none",2,"real estate",74,"stores","own",1,"high qualified",0,1,1,"good",0,1
"0<=X<200",36,"existing paid","Consumer goods",2671,"100<=X<500","1<=X<4",4,"co applicant",4,"no known property",50,"stores","for free",1,"skilled",0,0,1,"bad",1,0
"no checking",18,"existing paid","Consumer goods",2051,"<100","<1",4,"none",1,"real estate",33,"stores","own",1,"skilled",0,0,1,"good",0,1
"no checking",15,"existing paid","Car Purchase",1300,">=1000",">=7",4,"none",4,"no known property",45,"bank","for free",1,"skilled",1,0,1,"good",0,1
"<0",12,"existing paid","Consumer goods",741,"100<=X<500","unemployed",4,"none",3,"life insurance",22,"stores","own",1,"skilled",0,0,1,"bad",1,0
">=200",10,"existing paid","Car Purchase",1240,"100<=X<500",">=7",1,"none",4,"no known property",48,"stores","for free",1,"unskilled resident",1,0,1,"bad",1,0
"<0",21,"existing paid","Consumer goods",3357,">=1000","<1",4,"none",2,"car",29,"bank","own",1,"skilled",0,0,1,"good",1,1
"<0",24,"no credits/all paid","Car Purchase",3632,"<100","1<=X<4",1,"guarantor",4,"car",22,"bank","rent",1,"skilled",0,0,0,"good",1,1
"no checking",18,"delayed previously","Consumer goods",1808,"<100","4<=X<7",4,"none",1,"real estate",22,"stores","own",1,"skilled",0,0,1,"bad",1,0
"0<=X<200",48,"no credits/all paid","business",12204,"100<=X<500","1<=X<4",2,"none",2,"car",48,"bank","own",1,"skilled",0,1,1,"good",0,1
"0<=X<200",60,"delayed previously","Consumer goods",9157,"<100","1<=X<4",2,"none",2,"no known property",27,"stores","for free",1,"high qualified",0,0,1,"good",0,1
"<0",6,"critical/order existing credit","Car Purchase",3676,"<100","1<=X<4",1,"none",3,"real estate",37,"stores","rent",3,"skilled",1,0,1,"good",0,1
"0<=X<200",30,"existing paid","Consumer goods",3441,"100<=X<500","1<=X<4",2,"co applicant",4,"car",21,"stores","rent",1,"skilled",0,0,1,"bad",1,0
"no checking",12,"existing paid","Car Purchase",640,"<100","1<=X<4",4,"none",2,"real estate",49,"stores","own",1,"unskilled resident",0,0,1,"good",0,1
"0<=X<200",21,"critical/order existing credit","business",3652,"<100","4<=X<7",2,"none",3,"life insurance",27,"stores","own",2,"skilled",0,0,1,"good",0,1
"no checking",18,"critical/order existing credit","Car Purchase",1530,"<100","1<=X<4",3,"none",2,"life insurance",32,"bank","own",2,"skilled",0,0,1,"bad",0,0
"no checking",48,"existing paid","business",3914,"100<=X<500","1<=X<4",4,"none",2,"real estate",38,"bank","own",1,"skilled",0,0,1,"bad",0,0
"<0",12,"existing paid","Consumer goods",1858,"<100","<1",4,"none",1,"car",22,"stores","rent",1,"skilled",0,0,1,"good",1,1
"<0",18,"existing paid","Consumer goods",2600,"<100","1<=X<4",4,"none",4,"no known property",65,"stores","for free",2,"skilled",0,0,1,"bad",0,0
"no checking",15,"existing paid","Consumer goods",1979,"<100",">=7",4,"none",2,"car",35,"stores","own",1,"skilled",0,0,1,"good",0,1
">=200",6,"existing paid","Consumer goods",2116,"<100","1<=X<4",2,"none",2,"real estate",41,"stores","own",1,"skilled",0,1,1,"good",0,1
"0<=X<200",9,"no credits/all paid","Car Purchase",1437,"100<=X<500","4<=X<7",2,"none",3,"no known property",29,"stores","own",1,"skilled",0,0,1,"bad",0,0
"no checking",42,"critical/order existing credit","Consumer goods",4042,"500<=X<1000","1<=X<4",4,"none",4,"real estate",36,"stores","own",2,"skilled",0,1,1,"good",0,1
"no checking",9,"existing paid","education",3832,"<100",">=7",1,"none",4,"real estate",64,"stores","own",1,"unskilled resident",0,0,1,"good",0,1
"<0",24,"existing paid","Consumer goods",3660,"<100","1<=X<4",2,"none",4,"car",28,"stores","own",1,"skilled",0,0,1,"good",1,1
"<0",18,"no credits/all paid","Consumer goods",1553,"<100","1<=X<4",4,"none",3,"car",44,"bank","own",1,"skilled",0,0,1,"bad",0,0
"0<=X<200",15,"existing paid","Consumer goods",1444,"<100","<1",4,"none",1,"life insurance",23,"stores","own",1,"skilled",0,0,1,"good",0,1
"no checking",9,"existing paid","Consumer goods",1980,"<100","<1",2,"co applicant",2,"car",19,"stores","rent",2,"skilled",0,0,1,"bad",1,0
"0<=X<200",24,"existing paid","Car Purchase",1355,"<100","<1",3,"none",4,"car",25,"stores","own",1,"unskilled resident",0,1,1,"bad",1,0
"no checking",12,"existing paid","education",1393,"<100",">=7",4,"none",4,"life insurance",47,"bank","own",3,"skilled",1,1,1,"good",0,1
"no checking",24,"existing paid","Consumer goods",1376,"500<=X<1000","4<=X<7",4,"none",1,"car",28,"stores","own",1,"skilled",0,0,1,"good",1,1
"no checking",60,"delayed previously","Consumer goods",15653,"<100","4<=X<7",2,"none",4,"car",21,"stores","own",2,"skilled",0,1,1,"good",0,1
"no checking",12,"existing paid","Consumer goods",1493,"<100","<1",4,"none",3,"car",34,"stores","own",1,"skilled",1,0,1,"good",1,1
"<0",42,"delayed previously","Consumer goods",4370,"<100","4<=X<7",3,"none",2,"life insurance",26,"bank","own",2,"skilled",1,1,1,"bad",0,0
"<0",18,"existing paid","education",750,"<100","unemployed",4,"none",1,"real estate",27,"stores","own",1,"unemp/unskilled non res",0,0,1,"bad",1,0
"0<=X<200",15,"existing paid","repairs",1308,"<100",">=7",4,"none",4,"car",38,"stores","own",2,"unskilled resident",0,0,1,"good",0,1
"no checking",15,"existing paid","education",4623,"100<=X<500","1<=X<4",3,"none",3,"life insurance",40,"stores","own",1,"high qualified",0,1,1,"bad",0,0
