"checking_status","duration","credit_history","purpose","credit_amount","savings_status","employment","installment_commitment","personal_status","other_parties","residence_since","property_magnitude","age","other_payment_plans","housing","existing_credits","job","num_dependents","own_telephone","foreign_worker","class"
"<0",12,"existing paid","retraining",902,"<100","4<=X<7",4,"male mar/wid","none",4,"life insurance",21,"stores","rent",1,NA,1,"none","yes","bad"
"0<=X<200",19.107487034745,"critical/order existing credit","furniture/equipment",4292.57005186102,"<100",">=7",4,"male div/sep","none",2.90770941377125,"life insurance",38.892512965255,"stores","own",1.09229058622875,"high qualif/self emp/mgmt",1,"none","yes","bad"
"0<=X<200",44.843825611135,"delayed previously","new car",5969.54252453458,"<100","1<=X<4",2.78904359721626,"male div/sep","none",2.39452179860813,"no known property",23.9726089930406,"bank","own",NA,"skilled",1,"none","yes","bad"
"0<=X<200",9,"critical/order existing credit","education",1136,">=1000",">=7",4,"male single","none",3,"no known property",32,"stores","for free",2,"skilled",2,"none","yes","bad"
"0<=X<200",12,"existing paid","new car",898.116267807406,">=1000","1<=X<4",4,"male mar/wid","none",2.31395536543239,"car",25.8255982888915,"bank",NA,1,"skilled",1.15697768271619,"none","yes","bad"
"0<=X<200",24,"existing paid","other",11328,"<100","1<=X<4",2,"male single","co applicant",3,"car",29,"bank","own",2,"high qualif/self emp/mgmt",1,"yes","yes","bad"
"<0",13.8664483521726,"existing paid","education",1274.62214945072,">=1000","1<=X<4",3.62214945072421,"female div/dep/mar","none",1.62214945072421,"life insurance",28.9120571405852,"stores","own",1,"skilled",1,"none","yes","bad"
"0<=X<200",29.0525484901123,"no credits/all paid",NA,4273.84156518573,"100<=X<500","1<=X<4",3.52627424505613,"female div/dep/mar","none",4,"car",27.5790858498129,"stores","own",2.15790858498129,"unskilled resident",1,"none","yes","bad"
"<0",12,"delayed previously","other",701.795987928304,"<100",">=7",4,"male single","none",3.59977710712798,"no known property",48.1950963568155,"stores","own",1.40022289287202,"unemp/unskilled non res",1,"none","yes","bad"
"<0",40,"critical/order existing credit","education",5998,"<100","1<=X<4",4,"male single","none",3,"no known property",27,"bank","own",1,"skilled",1,"yes","yes","bad"
"0<=X<200",48,"no credits/all paid","other",18424,"<100","1<=X<4",1,"female div/dep/mar",NA,2,"life insurance",32,"bank","own",1,"high qualif/self emp/mgmt",1,"yes","no","bad"
"0<=X<200",9,"all paid","new car",1437,"100<=X<500","4<=X<7",2,"male single","none",3,"no known property",29,"stores","own",1,"skilled",1,"none","yes","bad"
"0<=X<200",18.1545107487935,"delayed previously","furniture/equipment",2039.64379478664,"<100","1<=X<4",1.05150358293118,"female div/dep/mar","none",3.94849641706882,"no known property",20.3605250805183,"bank","own",1,"high qualif/self emp/mgmt",1,"none","yes","bad"
"<0",35.3839266400477,NA,"other",6759.26160733599,"<100","1<=X<4",2.57946422133492,"male div/sep","none",2.84107155733015,"car",46.5598238106078,"stores","own",1.42053577866508,"skilled",1,"none","yes","bad"
"<0",18,"critical/order existing credit","new car",3966,"<100",">=7",1,"female div/dep/mar","none",4,"real estate",33,"bank","rent",3,"skilled",1,"yes","yes","bad"
"<0",30,"existing paid","repairs",11998,"<100","<1",1,"male div/sep","none",1,"no known property",34,"stores","own",1,"unskilled resident",1,"yes","yes","bad"
"<0",12,"all paid","radio/tv",626,"<100","1<=X<4",4,"female div/dep/mar","none",4,"real estate",24,"bank","own",1,"unskilled resident",1,"none","yes","bad"
"<0",40.4976973920515,"delayed previously","radio/tv",4393.2856904232,"<100","1<=X<4",3.25038376799141,"male single","none",2,"car",26,"bank","own",2,"high qualif/self emp/mgmt",1.74961623200859,"yes","yes","bad"
"<0",46.0606194265458,"delayed previously","domestic appliance",4328.04026592569,"<100","4<=X<7",3,"female div/dep/mar","none",3.35353980884861,"life insurance",24.6464601911514,"bank","own",1.3232300955757,"skilled",1.3232300955757,"none","yes","bad"
"0<=X<200",12,"existing paid","new car",685,"<100","4<=X<7",2,"male mar/wid","none",3,"car",25,"bank","own",1,"unskilled resident",1,"none","yes","bad"
"0<=X<200",24.2189097771403,"existing paid","retraining",12579.6020018871,"500<=X<10000","<1",NA,"female div/dep/mar","none",2.03648496285672,"no known property",44.0547274442851,"stores","for free",NA,"high qualif/self emp/mgmt",1.01824248142836,"yes","yes","bad"
"no checking",18,"existing paid","furniture/equipment",1533,"<100","<1",4,"male mar/wid","co applicant",1,"life insurance",43,"stores","own",1,"unskilled resident",2,"none","yes","bad"
"<0",24,"existing paid","radio/tv",1987,"<100",NA,2,"male single","none",4,"real estate",21,"stores","rent",1,"unskilled resident",2,"none","yes","bad"
"<0",48,"no credits/all paid","used car",4605,"<100",">=7",3,"male single","none",4,"no known property",24,"stores","for free",2,"skilled",2,"none","yes","bad"
"<0",21,"all paid","new car",1647,"no known savings","1<=X<4",4,"male single","none",2,"life insurance",40,"stores","own",2,"unskilled resident",2,"none","yes","bad"
"<0",6,"critical/order existing credit","furniture/equipment",3384,"<100","1<=X<4",1,"male div/sep","none",4,"real estate",44,"stores","rent",1,"high qualif/self emp/mgmt",1,"yes","yes","bad"
"<0",17.8119116638448,"existing paid","furniture/equipment",1129.46394525473,"<100",">=7",4,"female div/dep/mar","none",2.06269611205173,"car",33.470220840388,"bank","own",1.03134805602587,"skilled",1,"none","yes","bad"
"<0",12,"existing paid","new car",900,"no known savings","1<=X<4",4,"male mar/wid","none",2,"car",23,"stores","own",1,"skilled",1,"none","yes","bad"
"<0",18,"existing paid","radio/tv",1882,"<100","1<=X<4",4,"female div/dep/mar","none",4,"car",25,"bank","rent",2,"skilled",1,"none","yes","bad"
"0<=X<200",24.4735904740344,"existing paid","new car",2992.43523058758,"500<=X<10000","4<=X<7",4,"male div/sep","guarantor",3.37798759012225,"life insurance",23.488049639511,"stores","rent",1.62201240987775,"skilled",1,"none","yes","bad"
"<0",30.1399959826617,"existing paid","new car",3999.73286890792,"<100","1<=X<4",3.15285685590441,"male single","none",2.15285685590441,"car",43.3185745850515,"stores","own",1,"unemp/unskilled non res",1,"none","yes","bad"
"0<=X<200",24,"existing paid","new car",1369.64341964202,">=1000","1<=X<4",3.91521372762648,"female div/dep/mar","none",4,"no known property",25,"stores","own",1,"skilled",1,"none","yes","bad"
"0<=X<200",32.794920527595,"critical/order existing credit","furniture/equipment",4281.21875143723,"500<=X<10000","1<=X<4",1.04101589448099,"female div/dep/mar","none",3.986328035173,"car",23.232423402059,"stores","own",1.986328035173,"high qualif/self emp/mgmt",1,"none","yes","bad"
"<0",21.9656134572203,"delayed previously","education",7948.04677881017,"<100","4<=X<7",3.58476610594915,"male div/sep","none",3.16953221189831,"no known property",41.3734509665763,"stores","for free",1.41523389405085,"high qualif/self emp/mgmt",1,"yes","yes","bad"
"no checking",36,"existing paid","furniture/equipment",10974,"<100","unemployed",4,"female div/dep/mar","none",2,"car",26,"stores","own",2,"high qualif/self emp/mgmt",1,"yes","yes","bad"
"<0",36,"existing paid","furniture/equipment",5179,"<100","4<=X<7",4,"male single","none",2,"life insurance",29,"stores","own",1,"skilled",1,"none","yes","bad"
"0<=X<200",11.4785747769629,"all paid","retraining",5133.58995329067,"<100","<1",2.18359813162688,"female div/dep/mar","none",3.81640186837312,"life insurance",69.8690420383951,"bank","for free",1,"high qualif/self emp/mgmt",1.90820093418656,"none","yes","bad"
"<0",12,"no credits/all paid","repairs",1108,"<100","4<=X<7",4,"male single","none",3,"real estate",28,"stores","own",2,"skilled",1,"none",NA,"bad"
"<0",30.5410528800605,"existing paid","radio/tv",2308.49874657136,"<100","1<=X<4",3.48010027429147,"female div/dep/mar","none",3.74005013714574,"car",29.4403008228744,"stores","own",1,"skilled",1,"none","yes","bad"
"no checking",36,"delayed previously","radio/tv",4463,"<100","1<=X<4",4,"male single","none",2,"car",26,"stores","own",2,"high qualif/self emp/mgmt",1,"yes","yes","bad"
"no checking",36,"existing paid","furniture/equipment",3349,NA,"1<=X<4",4,"female div/dep/mar","none",2,"car",28,"stores","own",1,"high qualif/self emp/mgmt",1,"yes","yes","bad"
"<0",12,"existing paid","new car",1274,"<100","<1",3,"female div/dep/mar","none",1,"real estate",37,"stores",NA,1,"unskilled resident",1,"none","yes","bad"
"0<=X<200",43.7502399504825,"critical/order existing credit","furniture/equipment",5125.39417367583,"<100","1<=X<4",2.70829334158625,"male div/sep","none",2.64585332920687,"car",29.6458533292069,"stores","own",1,"high qualif/self emp/mgmt",1,"none","yes","bad"
"<0",12,"all paid","new car",622.383625784588,"<100","1<=X<4",4,"female div/dep/mar","none",3.36181631492731,"real estate",24.4254557900485,"bank","own",1,"unemp/unskilled non res",1,"none","yes","bad"
"0<=X<200",48,"existing paid","radio/tv",10155.342027917,"<100","4<=X<7",2.73894980341522,"male div/sep","none",3.15929986894348,"life insurance",33.5354491481326,"stores","for free",2.15929986894348,"skilled",1.57964993447174,"yes","yes","bad"
"0<=X<200",NA,"existing paid","new car",1350.88646094943,"<100","4<=X<7",3.41135390505668,"female div/dep/mar","none",3.58864609494332,"life insurance",25.4113539050567,"bank","own",1,"unemp/unskilled non res",1,"none","yes","bad"
"<0",11.6606401922089,"critical/order existing credit","furniture/equipment",2239.89152345976,"<100","<1",2.83032009610443,"male single","none",2.83032009610443,"life insurance",54.0612033636552,"bank","own",1.83032009610443,"skilled",1,"none","yes","bad"
"0<=X<200",36,"no credits/all paid","business",1953,"<100",">=7",4,"male single","none",4,"no known property",61,"stores","for free",1,"high qualif/self emp/mgmt",1,"yes","yes","bad"
"0<=X<200",34.8939979540118,"existing paid","furniture/equipment",3445.07833162834,"500<=X<10000","<1",3.63133265133726,"male mar/wid","guarantor",2.36866734866274,"car",38.1289928390412,"stores","own",1,"skilled",1.81566632566863,"none","yes","bad"
"<0",NA,"critical/order existing credit","new car",2235,"<100","1<=X<4",4,"male mar/wid","guarantor",2,"life insurance",33,"bank","rent",2,"skilled",1,"none","no","bad"
"<0",24,"delayed previously","furniture/equipment",3124.64922976533,"<100","4<=X<7",4,"female div/dep/mar","none",1.04340078329817,NA,27.1736031331927,"stores","own",1,"skilled",1,"none","yes","bad"
"0<=X<200",18,"critical/order existing credit","furniture/equipment",1928,"<100","<1",2,"male single","none",2,"real estate",31,"stores","own",2,"unskilled resident",1,"none","yes","bad"
"0<=X<200",27.1525309288998,"existing paid","new car",14488.4612374365,"<100",">=7",3.11525309288998,"male single","none",2.58983127140668,"no known property",60.2440719927367,"bank","for free",1,"high qualif/self emp/mgmt",1,"yes","yes","bad"
"0<=X<200",12.9243141718305,"critical/order existing credit","education",1133.81982546009,"<100",">=7",4,"male div/sep","none",2.56396509201884,"life insurance",32.4360349079812,"stores","for free",1.56396509201884,"skilled",1.56396509201884,"none","yes","bad"
"<0",15.0731411951476,"existing paid","furniture/equipment",2814.24340031751,"<100","4<=X<7",1.51219019919126,"male div/sep","none",1.48780980080874,"no known property",29.6097117927214,"bank","own",1,"unemp/unskilled non res",1.51219019919126,"none","yes","bad"
"0<=X<200",24,"delayed previously","furniture/equipment",4795.68262050699,"<100","4<=X<7",2,"male mar/wid","co applicant",3.26317752460509,"car",29.4209348523695,"bank","own",1,"skilled",1,"none","yes","bad"
">=200",46.40638720266,"existing paid","business",3899.39188269105,">=1000","1<=X<4",4,"female div/dep/mar","none",1.867198933555,"no known property",38.53120426578,"bank","own",1,"skilled",1,"none","yes","bad"
NA,19.2841266122537,"existing paid","other",3361.11256740813,"<100",">=7",3.60701055102114,"male single","none",2.78597889795772,"life insurance",37.4280422040846,"stores","own",1,"high qualif/self emp/mgmt",1,"yes","yes","bad"
"0<=X<200",22.2098102140338,"critical/order existing credit","other",1217.04427737515,"100<=X<500","<1",3.55245255350844,"male mar/wid","none",3.55245255350844,"no known property",39.1934598573108,"bank","own",2,"skilled",1.85081751783615,"none","yes","bad"
"0<=X<200",11.8442712932881,"critical/order existing credit","domestic appliance",1194.10381913781,"<100",">=7",3.22076382756159,"female div/dep/mar","none",4,"life insurance",36.5584723448768,"stores","for free",1,"skilled",1.3896180862192,"none","yes","bad"
"<0",34.7900838659607,"existing paid","new car",3942.20841368949,"<100","1<=X<4",3.59969951108972,"male div/sep","none",3.19939902217944,"life insurance",39.1948916885252,"stores","for free",1,"skilled",1.59969951108972,"none","yes","bad"
"<0",18,"existing paid","furniture/equipment",4153,"<100","1<=X<4",2,"male single","co applicant",3,"car",42,"stores","own",1,"skilled",1,"none","yes","bad"
"0<=X<200",11.7347753299031,"existing paid","furniture/equipment",890.652246700969,"<100","<1",4,"male mar/wid","none",3.73477532990306,"car",40.0275095429779,"bank","own",1,"unemp/unskilled non res",1.91159177663435,"none",NA,"bad"
"0<=X<200",15.4832640740635,"critical/order existing credit","other",891.55020777781,"<100","<1",4,"male mar/wid","none",4,NA,29.7081601851586,"bank","own",1,"skilled",1.58054401234391,"none","yes","bad"
"0<=X<200",36,"existing paid","repairs",2384,"<100","<1",NA,"male single","none",1,"no known property",33,"stores","rent",1,"unskilled resident",1,"none","yes","bad"
"<0",21,"delayed previously","education",3414,"<100","<1",2,"male single","none",1,"life insurance",26,"stores","own",2,"skilled",1,"none","yes","bad"
"0<=X<200",6.52100548645414,"all paid","new car",931.694673981939,"100<=X<500","4<=X<7",1.26050274322707,"female div/dep/mar","none",1.08683424774236,"life insurance",31.6526630090306,"stores","own",1.17366849548471,"unemp/unskilled non res",1,"none","yes","bad"
"no checking",18,"existing paid","furniture/equipment",1533,"<100","<1",4,"male mar/wid","co applicant",1,"life insurance",43,"stores","own",1,"unskilled resident",2,"none","yes","bad"
"<0",24,"critical/order existing credit","new car",3575.22224082732,"500<=X<10000","4<=X<7",2.66344578511127,"male single","none",4,"car",28.3462168595549,"bank","own",1.33655421488873,"skilled",1,"none","yes","bad"
"<0",48,"critical/order existing credit","used car",6143,"<100",">=7",4,"female div/dep/mar","none",4,"no known property",58,NA,"for free",2,"unskilled resident",1,"none","yes","bad"
"0<=X<200",21.4904305070578,"all paid","radio/tv",1543.49043050706,"<100","4<=X<7",3.37260762676446,"male mar/wid","guarantor",3.37260762676446,"car",23.7908692089215,"bank","rent",1,"unemp/unskilled non res",1,"none","yes","bad"
"0<=X<200",21.0482425917917,"critical/order existing credit","other",2543.41024580562,"500<=X<10000","1<=X<4",4,"male single","none",1.60321617278611,"life insurance",26.9678382721389,"stores","own",1.60321617278611,"unskilled resident",1.39678382721389,"none","yes","bad"
"<0",12,"no credits/all paid","new car",1082,"<100","1<=X<4",4,"male single","none",4,"car",48,"bank","own",NA,"skilled",1,"none","yes","bad"
"0<=X<200",14.514694291672,NA,"new car",1769.2644972501,"<100","<1",2.16176856944268,"female div/dep/mar","none",1.08088428472134,"no known property",25.6764628611146,"stores","own",1.91911571527866,"skilled",1,"none","yes","bad"
"<0",36,"delayed previously","education",6887,"<100","1<=X<4",4,"male single","none",3,"life insurance",29,"","own",1,"skilled",1,"yes","yes","bad"
"no checking",18,"critical/order existing credit","education",1864,"100<=X<500","1<=X<4",4,"female div/dep/mar","none",2,"real estate",30,"stores",NA,2,NA,1,"none","yes","bad"
"0<=X<200",24,"critical/order existing credit","new car",1356.86241705327,">=1000","<1",NA,"male div/sep","none",3.37919431557791,"car",34.3120852663314,"stores","own",1,"skilled",1,"yes","yes","bad"
"<0",14.7729871042152,"existing paid","new car",903.466233880269,"no known savings","1<=X<4",4,"male div/sep","none",2,"car",24.3864935521076,"bank","own",1,"skilled",1,"none","yes","bad"
">=200",45.608098929775,"critical/order existing credit","retraining",11644.2164242584,"100<=X<500",NA,1.86711660720972,"female div/dep/mar",NA,3.60134982162917,"car",25.3288339279028,"bank",NA,1.86711660720972,"unskilled resident",1,"none","yes","bad"
"0<=X<200",18,"existing paid","new car",1042,"no known savings","1<=X<4",4,"female div/dep/mar","none",NA,"life insurance",33,"stores","own",1,"skilled",1,"none","yes","bad"
"0<=X<200",19.0600654277097,"critical/order existing credit","other",1218.8816285005,"100<=X<500","<1",2.76501635692742,"male mar/wid","none",2.76501635692742,"no known property",41.2932897148602,"bank","own",2,"skilled",1.58833878564247,"none","yes","bad"
"no checking",36,"delayed previously","business",7980,"no known savings","<1",4,"male single","none",4,"car",27,"stores","rent",2,"skilled",1,"yes","yes","bad"
"<0",21.2587001079598,NA,"new car",2310.31013304544,"<100","<1",3.3908222462133,"male mar/wid","co applicant",1.6091777537867,"real estate",38.908222462133,"stores","own",1,"skilled",NA,"none","yes","bad"
"<0",12,"all paid","furniture/equipment",697.699702992674,"<100","<1",4,"male single","none",2.06360936297033,"car",45.8409765925742,"bank","own",1.96819531851483,"skilled",1.03180468148517,"none","yes","bad"
"0<=X<200",11.4063277470802,"existing paid","new car",678.865386719829,"<100","1<=X<4",2.39578150194653,"male mar/wid","none",3,"car",25.5936722529198,"bank","own",1,"unskilled resident",1,"none","yes","bad"
"0<=X<200",48,"existing paid","radio/tv",3060,"<100","4<=X<7",4,"male single","none",4,"real estate",28,"stores","own",2,"skilled",1,"none","yes","bad"
"0<=X<200",24,"existing paid","new car",1361.78520679587,"<100","4<=X<7",3.42407542474192,"female div/dep/mar","none",4,"life insurance",25,"stores","own",1,"unemp/unskilled non res",1,"none","yes","bad"
"0<=X<200",39.4810869180558,"existing paid","education",6330.40575370268,">=1000","<1",4,"male single","none",4,"life insurance",34.4763985366205,"stores","for free",1,"skilled",1,"none","yes","bad"
"<0",14.8631623174841,"existing paid","new car",903.578952896855,"no known savings","1<=X<4",4,"male div/sep","none",2,"car",24.431581158742,"bank","own",1,"skilled",1,"none","yes","bad"
"<0",24,"all paid","furniture/equipment",6872,"<100","<1",2,"male div/sep","none",1,"life insurance",55,"bank","own",1,"skilled",1,"yes","yes","bad"
"0<=X<200",20.6535464042974,"delayed previously","furniture/equipment",1216.55774226595,"500<=X<10000","1<=X<4",4,"male mar/wid","none",3.44225773404956,"no known property",43.0196803935539,"bank","own",1.44225773404956,"unemp/unskilled non res",1.44225773404956,"none","yes","bad"
"<0",19.4728910012643,"existing paid","new car",909.34111375158,"no known savings","4<=X<7",4,"female div/dep/mar","none",2,"car",26.7364455006321,"bank","own",1,"skilled",1,"none","yes","bad"
"<0",21.5772114564598,"existing paid","furniture/equipment",948.938230834832,"<100","1<=X<4",3.51544229129196,"male mar/wid","none",2.83848076376399,"life insurance",36.5463268738759,"bank","for free",1,"skilled",NA,"none","no","bad"
"0<=X<200",24,"existing paid","new car",1355,"<100","<1",3,"female div/dep/mar","none",4,"car",25,"stores","own",1,"unskilled resident",1,"yes","yes","bad"
"0<=X<200",40.2707317376009,"existing paid","new car",14219.9084007879,"<100","<1",2.90392954097783,"male single","none",2,"life insurance",25.5385727213038,"stores","own",1,"high qualif/self emp/mgmt",1,"yes","yes","bad"
"0<=X<200",24,"existing paid","new car",1246,"<100","<1",4,"male single","none",2,"real estate",23,"","own",1,"unskilled resident",1,"none","yes","bad"
">=200",9.95267744385002,"delayed previously","education",1977.14196766845,"<100","<1",2.12702365918,"female div/dep/mar","co applicant",2.12702365918,"car",19.76214195508,"stores","own",2,"skilled",1,"none","yes","bad"
"0<=X<200",NA,"critical/order existing credit","education",1136,">=1000",">=7",4,"male single","none",3,"no known property",32,"stores","for free",2,"skilled",2,"none","yes","bad"
"0<=X<200",12.9243141718305,"critical/order existing credit","education",1133.81982546009,"<100",">=7",4,"male div/sep","none",2.56396509201884,"life insurance",32.4360349079812,"stores","for free",1.56396509201884,"skilled",1.56396509201884,"none","yes","bad"
"<0",12,"critical/order existing credit","new car",694.281109812567,"<100",">=7",4,"male single","none",3.18228387847596,"life insurance",39.0102453264711,"stores","own",1.81771612152404,"skilled",1,"none","yes","bad"
"<0",18,"all paid","furniture/equipment",1553,"<100","1<=X<4",4,"male single","none",3,"car",44,"bank","own",1,"skilled",1,"none","yes","bad"
"<0",18,"existing paid","furniture/equipment",2462,"<100","1<=X<4",2,"male single","none",2,"car",22,"stores","own",1,"skilled",1,"none",NA,"bad"
"<0",9.15256280522584,"existing paid","radio/tv",1336.69487438955,"<100","<1",3.89829146318277,"male single","none",1.94914573159139,"car",33.3897487790966,"stores","own",1.94914573159139,"high qualif/self emp/mgmt",1,"none","yes","bad"
"0<=X<200",15.7844631528436,"delayed previously","furniture/equipment",2771.14578595271,">=1000","<1",1.47305789410546,"female div/dep/mar","none",2.31537192940364,"car",25.3153719294036,"bank","own",1.15768596470182,"skilled",NA,"none","yes","bad"
"0<=X<200",32.6428379139726,"existing paid","radio/tv",2387.6369255932,"500<=X<10000","<1",3.72023649283105,"male single","none",1.27976350716895,"life insurance",33.5595270143379,"bank","own",1.27976350716895,"unemp/unskilled non res",1,"none","yes","bad"
"<0",48,"existing paid","used car",10297,"<100","4<=X<7",4,"male single","none",4,"no known property",39,"","for free",3,"skilled",2,"yes","yes","bad"
"no checking",27,"existing paid","new car",2570,"<100","1<=X<4",3,"female div/dep/mar","none",3,"real estate",21,"stores","rent",1,"skilled",1,"none","yes","bad"
"<0",6,"existing paid","new car",14896,"<100",">=7",1,"male single","none",4,"no known property",68,"bank","own",1,"high qualif/self emp/mgmt",1,"yes","yes","bad"
"<0",12,"existing paid","furniture/equipment",7865,"<100",">=7",4,"male single","none",4,"no known property",53,"stores","for free",1,"high qualif/self emp/mgmt",1,"yes","yes","bad"
"<0",19.7877567092517,"delayed previously","furniture/equipment",2492.36736435023,"<100",">=7",4,"male single","none",1.89387835462585,"car",31.5551079339229,"stores","own",1.29795945154195,"unemp/unskilled non res",1.29795945154195,"none","yes","bad"
"0<=X<200",21.3458866216134,"critical/order existing credit","other",1216,"100<=X<500","<1",4,"male div/sep","none",3.5576477702689,"life insurance",31.3647165540334,"bank","own",1.5576477702689,"skilled",1.5576477702689,"none","yes","bad"
"<0",24,"critical/order existing credit","new car",3575.22224082732,"500<=X<10000","4<=X<7",2.66344578511127,"male single","none",4,"car",28.3462168595549,"bank","own",1.33655421488873,"skilled",1,"none","yes","bad"
"0<=X<200",14.9917666043052,"existing paid","domestic appliance",1275.05488930463,">=1000","1<=X<4",3.99725553476839,"female div/dep/mar","none",1.99725553476839,"car",24.0027444652316,"stores","rent",1,NA,1,"none","yes","bad"
"<0",36,"existing paid","education",1977,"no known savings",">=7",NA,"male single","none",4,"no known property",40,"stores",NA,1,"high qualif/self emp/mgmt",1,"yes","yes","bad"
"no checking",18,"critical/order existing credit","new car",2775,"<100","4<=X<7",2,"male single","none",2,"life insurance",31,"bank","own",2,"skilled",1,"none","yes","bad"
"<0",21.9656134572203,"delayed previously","education",7948.04677881017,"<100","4<=X<7",3.58476610594915,"male div/sep","none",3.16953221189831,"no known property",41.3734509665763,"stores","for free",1.41523389405085,"high qualif/self emp/mgmt",1,"yes","yes","bad"
"<0",15.7095233060274,"existing paid","new car",1220.58095338795,"<100","4<=X<7",4,"female div/dep/mar","none",2.61825388433789,"life insurance",23.3817461156621,"stores","own",1,"skilled",1,"none","yes","bad"
"<0",23.6596061939477,"all paid","education",3536.34188492159,"<100","4<=X<7",2.88653539798255,"male single","none",3.65960619394766,"car",26.8865353979826,"bank","own",1.11346460201745,"skilled",1,"none","yes","bad"
"<0",24,"existing paid","new car",1371,"no known savings","1<=X<4",4,"female div/dep/mar","none",4,"real estate",25,"stores","rent",1,"skilled",1,"none","yes","bad"
"<0",30,"existing paid","repairs",11998,"<100","<1",1,"male div/sep","none",1,"no known property",34,"stores","own",1,"unskilled resident",1,"yes","yes","bad"
"0<=X<200",24,"existing paid","furniture/equipment",4057,"<100","4<=X<7",3,"male div/sep","none",3,"car",43,"stores","own",1,"skilled",1,"yes","yes","bad"
"<0",22.0435664908485,"delayed previously","new car",4821.23893926983,"<100","4<=X<7",2.16303612576263,"male single","co applicant",3.16303612576263,"life insurance",32.9564335091515,"stores","own",1.16303612576263,"skilled",1,"yes","yes","bad"
"0<=X<200",15.4402022500316,"critical/order existing credit","furniture/equipment",1925.44020225003,"<100","4<=X<7",2.85326591665613,"male single","none",2,"no known property",33.5597977499684,"stores","own",1.57336704167193,"unskilled resident",1,"none","yes","bad"
"0<=X<200",23.7032184356891,"existing paid","domestic appliance",3927.08819906914,NA,"1<=X<4",3.72526820297409,"male mar/wid","none",2,"car",34.0768774208186,"stores","own",1,"skilled",1.72526820297409,"yes","yes","bad"
">=200",11.9874941250881,"existing paid","education",719.108384249236,"<100","<1",3.99583137502937,"male mar/wid","none",3.99166275005874,"car",40.9458078753818,"bank","own",1,"unskilled resident",1.99583137502937,"none","yes","bad"
"<0",31.7972841917132,"existing paid","radio/tv",2388.55294212564,"500<=X<10000","<1",3.64977368264276,"male single","none",1.35022631735724,"life insurance",33.7004526347145,"bank","own",1.35022631735724,"unemp/unskilled non res",1,"none","yes","bad"
"<0",18,"existing paid","radio/tv",3190,"<100","1<=X<4",NA,"female div/dep/mar","none",2,"real estate",24,"stores","own",1,"skilled",1,NA,"yes","bad"
"<0",48,"no credits/all paid","used car",4605,"<100",">=7",3,"male single","none",4,"no known property",24,"stores","for free",2,"skilled",2,"none","yes","bad"
"0<=X<200",NA,"existing paid","new car",1246,"<100","<1",4,"male single","none",2,"real estate",NA,"","own",1,"unskilled resident",1,"none","yes","bad"
"<0",15.7095233060274,"existing paid","new car",1220.58095338795,"<100","4<=X<7",4,"female div/dep/mar","none",2.61825388433789,"life insurance",23.3817461156621,"stores",NA,1,"skilled",1,"none","yes","bad"
"0<=X<200",54,"no credits/all paid","business",15945,"<100","<1",3,"male single","none",4,"no known property",58,"stores","rent",1,"skilled",1,"yes","yes","bad"
"<0",29.4461622380913,"existing paid","furniture/equipment",3109.38459440477,"<100",NA,2.18461258730291,"female div/dep/mar","none",3.72308111904564,"life insurance",30.6307748253942,"stores","own",1,"unemp/unskilled non res",1,"none","yes","bad"
"<0",28.9367421112602,"existing paid","furniture/equipment",2411.84791838807,"<100","4<=X<7",4,"female div/dep/mar","none",4,"real estate",25.1265157774797,"stores","own",1,"skilled",1,"none","yes","bad"
"<0",43.2433658940483,"existing paid","radio/tv",7137.73516142359,">=1000","4<=X<7",3.37831705297583,"female div/dep/mar","guarantor",2.58554470198389,"car",30.8289105960322,"stores","own",1.20722764900806,"high qualif/self emp/mgmt",1,"yes","yes","bad"
"<0",30,"existing paid","furniture/equipment",6350,"no known savings",">=7",4,"male single","none",4,"life insurance",31,"stores","own",1,"skilled",1,"none","yes","bad"
"<0",18,"existing paid","radio/tv",3190,"<100","1<=X<4",2,"female div/dep/mar","none",2,"real estate",24,"stores","own",1,"skilled",1,"none","yes","bad"
">=200",16.3879651078482,"critical/order existing credit","furniture/equipment",2771.50725773367,"<100","4<=X<7",1.73132751797469,"male mar/wid","none",2,"life insurance",29.3879651078482,"bank","own",1.73132751797469,"skilled",1,"none","yes","bad"
"<0",18,"existing paid","furniture/equipment",1131,"<100","unemployed",4,"female div/dep/mar","none",2,NA,33,"stores","own",1,"skilled",1,"none","yes","bad"
"no checking",24,"delayed previously","business",8648,"<100","<1",2,"male single","none",2,"car",27,"bank","own",NA,"skilled",1,"yes","yes","bad"
"<0",24,"all paid","new car",1355.28210841438,"no known savings","<1",4,"male single","none",2.80586488674114,"car",39.4175946602234,"stores","own",1.19413511325886,"high qualif/self emp/mgmt",1.19413511325886,"none","yes","bad"
"0<=X<200",24,"delayed previously","furniture/equipment",2064,"<100","unemployed",3,"female div/dep/mar","none",2,"life insurance",34,"stores","own",1,"high qualif/self emp/mgmt",1,"yes","yes","bad"
"no checking",18,"critical/order existing credit","new car",1530,"<100","1<=X<4",3,"male single","none",2,"life insurance",32,"bank","own",2,"skilled",1,"none","yes","bad"
"<0",49.6716790614223,"critical/order existing credit","other",7434.50935707568,"500<=X<10000","<1",4,"female div/dep/mar","none",1.65572263538074,"life insurance",33.9840435739585,"bank","own",1,"high qualif/self emp/mgmt",1,"none","yes","bad"
"<0",12,"existing paid","new car",1274,"<100","<1",3,"female div/dep/mar","none",1,"real estate",37,"stores","own",1,"unskilled resident",1,"none","yes","bad"
